"Bucket","Area","ID","ItemType","Title","Priority","Milestone","Status","XBrowser_Current","XBrowser_Task","Suggested_Files","DependsOn","Done_Criteria","Test_Steps","SourceCsv"
"developed","Accessibility","INT-033","Interaction","侧栏键盘导航：上下选择 tab、Enter 激活、Delete 关闭","P3","M3","done","当前 ListView 默认焦点/按键行为不足。","为 tab ListView 增加 Keys 处理与 currentIndex 跟随；Delete 调用 close-tab；Enter 激活。","ui/qml/BrowserWindow.qml","","不使用鼠标也能完成 tab 选择/关闭。","聚焦侧栏 -> ↑↓ -> Enter 激活；Delete 关闭","zen_browser_interaction_plan.csv"
"developed","Build/Packaging","ZEN-001","Feature","纳入 Zen 源码目录","P3","M4","done","已记录","已记录：Zen 通过 moz.build 集成到构建（非纯 runtime 注入）；XBrowser 等价为 CMake + QRC/QML。","docs/ZEN_BUILD_NOTES.md","","确认 Zen 是通过 moz.build 集成而非仅 runtime 注入","打开 docs/ZEN_BUILD_NOTES.md 并检查 ZEN-001 小节","zen_browser_feature_impl_plan.csv"
"developed","Build/Packaging","ZEN-002","Feature","打包 Zen 资源到 browser.jar","P3","M4","done","已记录","已记录：Zen 通过 jar manifest 将资源映射到 chrome://browser/...；XBrowser 等价为 QRC + QML 资源组织。","docs/ZEN_BUILD_NOTES.md","","列清 Zen 的资源入口与加载点即可","打开 docs/ZEN_BUILD_NOTES.md 并检查 ZEN-002 小节","zen_browser_feature_impl_plan.csv"
"developed","Build/Startup","ZEN-003","Feature","组件与 WindowActor 注册","P2","M3","done","部分实现","(可选)XBrowser 若需要 content 注入/拦截，需设计 WebView2 的消息/脚本注入机制","src/engine/webview2/WebView2View.*","","能在内容页范围内注入脚本并与宿主双向通信","","zen_browser_feature_impl_plan.csv"
"developed","CompactMode","INT-003","Interaction","紧凑模式 hover 展开：加入延迟/滞回，避免抖动","P1","M1","done","当前用两个 6px MouseArea 即时切换 compactTopHover/compactSidebarHover，容易抖动。","引入 hover 进入/离开定时器与滞回；鼠标从边缘进入到真实区域时不闪烁；离开后稍延迟收起。","ui/qml/BrowserWindow.qml","INT-001","compact 模式下 hover 展开稳定，不因快速划过边缘闪烁。","开启 compactMode -> 快速划过窗口顶边/左边 20 次 -> UI 不闪","zen_browser_interaction_plan.csv"
"developed","CompactMode","ZEN-140","Feature","紧凑模式(隐藏/悬停显示)","P2","M3","done","已实现(基础)","在 XBrowser：实现 CompactMode：自动隐藏地址栏/侧栏并悬停显示（可先做手动切换）","ui/qml/BrowserWindow.qml; (建议新增) src/core/LayoutController.*","ZEN-031","可切换紧凑模式且基本可用，不影响导航/输入","","zen_browser_feature_impl_plan.csv"
"developed","Core","ZEN-030","Feature","全局预加载脚本注入","MVP","M1","done","已实现(基础)","在 XBrowser：用单例 Controller/Service 注入 QML context（如 BrowserController + WorkspaceController）","src/core/BrowserController.*; (建议新增) src/core/WorkspaceController.*","ZEN-021","QML 层可访问统一的 controller/service，对应 Zen 的 gZen*","","zen_browser_feature_impl_plan.csv"
"developed","Core/Polyfill","ZEN-220","Feature",":has 选择器观察与属性桥","P2","M3","done","未实现","在 XBrowser：用 QML States/Bindings/Connections 实现等价的状态派生与样式切换","ui/qml/components/*","ZEN-140","UI 状态派生清晰（popup open/hover/focus）且不靠到处写 if","","zen_browser_feature_impl_plan.csv"
"developed","Core/Tabs","INT-010","Interaction","真正的“切换 tab 不重载”：为每个 tab 维护独立 WebView2 实例（或池化）","P0","M2","done","当前切换 tab 会 navigate 到 url，页面状态丢失且切换慢。","引入 TabWebContents/TabViewPool：每个 tab 绑定一个 WebView2 controller；active 时显示，inactive 时隐藏/冻结；为多 tab 做基础。","src/engine/webview2/*; src/core/TabModel.*; ui/qml/BrowserWindow.qml","","切换 tab 不触发 reload；页面滚动位置/表单状态保留（至少在同一进程生命周期内）。","打开页面滚动到中间 -> 切到其他 tab -> 切回：滚动位置仍在","zen_browser_interaction_plan.csv"
"developed","Core/Tabs","INT-011","Interaction","TabModel 扩展：记录 favicon/音频/加载/最后激活时间等状态","P1","M2","done","TabModel 仅存 url/title/essential/groupId；UI 难以做细节。","为 TabModel 增加可选 state role（faviconUrl、isLoading、isAudioPlaying、isMuted、lastActivatedMs 等），先从 active tab 回填。","src/core/TabModel.*; src/engine/webview2/WebView2View.*","INT-010","QML 可直接绑定这些状态；状态更新不会卡 UI。","播放音频 -> TabModel 对应条目 isAudioPlaying=true","zen_browser_interaction_plan.csv"
"developed","Core/UI","ZEN-031","Feature","UI 总控与垂直标签管理器","MVP","M1","done","已实现(基础)","在 XBrowser：拆分 SidebarController + LayoutController，避免单文件过大但保留统一入口","(建议新增) src/core/LayoutController.*; ui/qml/components/Sidebar.qml","ZEN-011","侧边栏与地址栏布局状态切换可控，且逻辑不散落在多个无关组件","","zen_browser_feature_impl_plan.csv"
"developed","Core/UI","ZEN-032","Feature","Toast 系统","P1","M2","done","已实现(基础)","在 XBrowser：实现 ToastHost + API（showToast(text,action,timeout)）","ui/qml/components/ToastHost.qml; (建议新增) src/core/ToastController.*","ZEN-015","toast 支持可选按钮动作与超时消失","","zen_browser_feature_impl_plan.csv"
"developed","Data","NEXT-V4-002","Interaction","书签(Bookmarks)基础能力(增删查)","P0","M5","done","暂无书签数据层与UI。","新增 BookmarkStore(+JSON/SQLite) 与 BookmarksPanel：支持添加/删除/搜索/打开；地址栏提供“⭐”按钮。","src/core/BookmarksStore.* (new); ui/qml/components/BookmarksPanel.qml (new); ui/qml/BrowserWindow.qml","NEXT-V4-001","可收藏当前页并在书签面板中搜索/打开/删除。","收藏当前页 -> 关闭/重启 -> 书签仍在 -> 搜索并打开","zen_browser_next_plan_v4.csv"
"developed","Data","NEXT-V4-003","Interaction","历史(History)记录+查看+清理","P0","M5","done","暂无历史数据层与UI；仅在无历史时 toast “No history”。","监听导航提交事件写入 HistoryStore；提供 HistoryPanel/HistoryPage；支持按天分组与清理。","src/core/HistoryStore.* (new); src/engine/webview2/WebView2View.*; ui/qml/components/HistoryPanel.qml (new)","NEXT-V4-001","能看到历史列表(含title/url/time)并可清理指定时间范围。","访问3个站点 -> 打开历史面板 -> 显示3条 -> 清理今天 -> 列表为空","zen_browser_next_plan_v4.csv"
"developed","DnD","ZEN-150","Feature","Tab/Workspace 拖拽行为","P2","M3","done","部分实现","在 XBrowser：实现 tab 拖拽重排、拖拽到工作区切换/移动（先做重排）","ui/qml/components/TabList.qml; src/core/TabModel.*","ZEN-050","支持拖拽重排 tab，且不破坏激活状态","","zen_browser_feature_impl_plan.csv"
"developed","DnD","ZEN-151","Feature","拖拽原生服务","P4","M5","done","已记录(不做原生服务)","已记录：XBrowser 当前用 QML 完成应用内拖拽(排序/分屏)，不做 OS 级拖拽服务；需要时再补 Windows-native bridge。","docs/ZEN_COMPAT.md; ui/qml/BrowserWindow.qml","ZEN-150","明确哪些拖拽能力由 QML 自带，哪些需要原生层补足","打开 docs/ZEN_COMPAT.md 的 ZEN-151 小节","zen_browser_feature_impl_plan.csv"
"developed","Downloads","INT-025","Interaction","下载入口：工具栏图标 + badge + 非模态面板","P2","M2","done","当前用菜单打开 DownloadsDialog（模态）。","在工具栏增加下载按钮；显示 activeCount badge；点击打开非模态 panel（可复用 DownloadsDialog 内容）。","ui/qml/BrowserWindow.qml; ui/qml/components/DownloadsDialog.qml; src/core/DownloadModel.*","","下载状态可快速可见；无需模态 Dialog 也能查看/打开文件。","触发下载 -> 图标出现 badge -> 点击打开面板 -> 可 Open/Folder","zen_browser_interaction_plan.csv"
"developed","Downloads","INT-026","Interaction","下载完成 Toast：提供“打开文件/打开文件夹”动作按钮","P2","M2","done","当前 toast 仅显示文案，无 action。","在 downloadFinished 时调用 toast.showToast(message, actionLabel, actionCommand)；新增命令 open-download-file/open-download-folder。","ui/qml/BrowserWindow.qml; src/app/main.cpp; src/core/ToastController.*; src/core/DownloadModel.*","","下载完成 toast 可点击动作直接打开。","完成下载 -> toast 显示 Open -> 点击 -> 文件打开","zen_browser_interaction_plan.csv"
"developed","Downloads","ZEN-110","Feature","下载动画组件","P3","M4","done","部分实现","在 XBrowser：可选实现下载进度动效（先做下载列表，再做动效）","ui/qml/components/Downloads/* (待建)","","下载开始/完成/失败有可见反馈","","zen_browser_feature_impl_plan.csv"
"developed","DX","INT-V2-005","Interaction","提供多种“打开浏览器”方式并保持一致","P1","M1","done","此前运行方式分散且遇到缺依赖难定位。","补充脚本与文档：run/deploy 脚本优先使用已部署运行时，并提供 VS/CMake/脚本多入口。","scripts/run.ps1; scripts/run.cmd; scripts/deploy.ps1; scripts/deploy.cmd; README.md","","至少提供 3 种可复现的启动方式，并在 README 给出推荐流程。","按 README 的 3 种方式分别启动一次","zen_browser_interaction_plan_v2.csv"
"developed","DX/Running","INT-V3-005","Interaction","整理并固化“打开浏览器”的多入口方式 + Qt 运行时缺失的一劳永逸方案","P0","M4","done","已有 dev/run/deploy 脚本与文档，但部署判定可更稳且 deploy 可更强制。","run.ps1 部署判定更严格(qwindows + qml)；deploy.ps1 默认加 --force/--no-translations；CMake POST_BUILD windeployqt 加 --force；更新 docs/RUNNING.md。","scripts/run.ps1; scripts/deploy.ps1; src/CMakeLists.txt; docs/RUNNING.md","","未设置 PATH 也能通过已部署输出目录直接运行；run.cmd 可自动修复缺 DLL/插件；文档列出的方式可复现。","删除 build\\Debug\\platforms 后运行 scripts\\run.cmd -> 自动 deploy 并能启动","zen_browser_interaction_plan_v3.csv"
"developed","Emoji","ZEN-130","Feature","Emoji Picker 面板","P4","M5","done","已实现(基础)","在 XBrowser：可选实现 emoji 选择器（系统面板或内置）","ui/qml/components/EmojiPicker.qml (待建)","","可从 UI 打开 emoji 选择并插入到输入框","","zen_browser_feature_impl_plan.csv"
"developed","Essentials","INT-015","Interaction","Essentials 区在侧栏收起时切换为“仅图标”并提供 tooltip","P3","M3","done","当前 Essentials 仍显示文本，侧栏窄时拥挤。","当 sidebarWidth 小于阈值时：Essentials/Tab 项改为图标优先；title 通过 tooltip 展示。","ui/qml/BrowserWindow.qml; src/core/AppSettings.*","","侧栏窄态时信息仍可读（tooltip）；视觉更像 Zen。","把侧栏拖到很窄 -> tab 文本自动隐藏 -> hover 仍能看到完整标题","zen_browser_interaction_plan.csv"
"developed","Extensions","INT-V3-003","Interaction","扩展入口更深：工具栏图标右键/更多动作/弹窗更接近浏览器扩展体验","P1","M4","done","已具备扩展面板/弹窗与 pinned 图标点击打开 popup。","Pinned 扩展图标支持右键菜单：Open/Options/Pin/Unpin/Enable/Disable/Remove/Manage；disabled 仍显示(淡化)以便快速启用。","ui/qml/BrowserWindow.qml; ui/qml/components/ContextMenu.qml","","右键扩展图标可完成常用动作；popup/菜单不被 WebView2 遮挡；Options/Manage 打开正确。","安装 unpacked extension -> pin -> 右键图标 -> Disable/Enable/Options/Manage 均可用","zen_browser_interaction_plan_v3.csv"
"developed","Extensions","NEXT-V4-009","Interaction","扩展管理页(权限/详情/更新提示)","P1","M6","done","已有扩展列表/启用禁用/固定/弹窗入口，但缺少“详情页/权限信息/更新提示”。","扩展管理页增加详情抽屉：permissions/host permissions(可先展示元信息)；支持检查更新(若WebView2支持)。","ui/qml/components/ExtensionsDialog.qml; src/engine/webview2/BrowserExtensionsModel.*","","扩展列表可打开详情视图并展示至少：id/name/version/enabled/pinned。","安装扩展->打开详情->信息完整；禁用/启用可即时反映","zen_browser_next_plan_v4.csv"
"developed","Folders","ZEN-060","Feature","Tab Folder/Group 管理","P2","M3","done","部分实现","在 XBrowser：实现 TabGroup/Folder 模型（嵌套层级可先做 1 层）+ 折叠/展开","(建议新增) src/core/TabGroupModel.*; ui/qml/components/TabGroupItem.qml","ZEN-050","可把若干 tab 归为组并折叠/展开","","zen_browser_feature_impl_plan.csv"
"developed","Folders","ZEN-061","Feature","Folder Tabs Popup 与搜索","P3","M4","done","未实现","在 XBrowser：实现组内搜索弹窗（或在组内内联搜索）","ui/qml/components/FolderTabsPopup.qml (待建)","ZEN-060","对组内 tabs 进行即时过滤搜索","","zen_browser_feature_impl_plan.csv"
"developed","Glance","INT-029","Interaction","Glance：增加“在新标签打开/固定到分屏”动作与更完整的 header","P2","M2","done","当前 Alt+点击链接会打开 overlay 预览，但 header 仅返回/关闭。","为 glance overlay header 增加按钮：Open in Tab / Open in Split；并显示目标 URL；支持 ESC 关闭。","ui/qml/BrowserWindow.qml; ui/qml/components/OverlayHost.qml; src/app/main.cpp（commands）","INT-028","glance 预览后可一键转为 tab 或分屏；关闭路径统一。","Alt+点链接 -> 预览 -> 点 Open in Tab -> 新 tab 打开该链接","zen_browser_interaction_plan.csv"
"developed","Glance","ZEN-080","Feature","快速预览(Glance)总控","P3","M4","done","已实现(基础)","在 XBrowser：可选实现 Preview Overlay（在同一 tab 内临时打开链接）","ui/qml/components/PreviewOverlay.qml (待建)","ZEN-070","可从链接触发预览并一键转为新 tab/分屏","","zen_browser_feature_impl_plan.csv"
"developed","Glance","ZEN-081","Feature","内容页 Actor 注入","P3","M4","done","已实现(基础)","在 XBrowser：若做 Glance，需要 WebView2 注入脚本捕捉点击并回传 URL","src/engine/webview2/WebView2View.*","ZEN-080","能在页面内捕捉链接点击并按规则触发预览","","zen_browser_feature_impl_plan.csv"
"developed","Input/Commands","ZEN-017","Feature","命令与 Keyset 桥接","MVP","M1","done","已实现(基础)","在 XBrowser：建立 CommandBus（enum/strings）+ Shortcut 映射层，统一触发业务动作","src/core/*Command* (待建); ui/qml/components/Shortcuts.qml","ZEN-010","快捷键与按钮都走同一套命令入口，便于复刻 Zen 行为","","zen_browser_feature_impl_plan.csv"
"developed","Keyboard","INT-032","Interaction","补齐高频快捷键（Ctrl+Tab/Shift+Ctrl+Tab/Ctrl+Shift+T/Ctrl+R 等）","P1","M2","done","当前快捷键较少（Ctrl+L/T/W/B 等）。","新增快捷键映射到 commands，并实现对应行为（切换 tab、恢复关闭 tab、刷新、主页等）。","ui/qml/components/Shortcuts.qml; src/app/main.cpp; src/core/*","INT-010","常用快捷键可用且不冲突；切换 tab 快速且保留状态（依赖 INT-010）。","Ctrl+Tab 循环切换 5 个 tab：状态保持且不卡","zen_browser_interaction_plan.csv"
"developed","Layering","INT-035","Interaction","WebView2 HWND 上层弹出菜单不被遮挡","P0","M1","done","QML Overlay/Popup 在 WebView2 HWND 上会被遮挡（sidetabs 右键/页面右键/权限提示）。","PopupManager 改为顶层 Window(Qt.Popup) 并保持 on-top；Web 右键与权限提示统一走 PopupManager。","ui/qml/components/PopupManager.qml; ui/qml/BrowserWindow.qml","","任意弹出菜单在网页区域也可见且可点击。","右键网页与侧栏 tab：菜单不被盖住","zen_browser_interaction_plan.csv"
"developed","Layering","INT-036","Interaction","QtQuick.Controls Popup/Dialog 在 WebView2 上层显示","P0","M1","done","omnibox 下拉/emoji picker/Dialogs 可能被 WebView2 盖住。","为 QtQuick.Controls 的 Popup/Dialog 统一设置 popupType=Popup.Window。","ui/qml/BrowserWindow.qml; ui/qml/components/*.qml","INT-035","常用下拉与对话框在网页区域也可见。","打开 Themes/Downloads/Onboarding/EmojiPicker：弹窗不被盖住","zen_browser_interaction_plan.csv"
"developed","Layering","INT-V2-002","Interaction","WebView2 HWND 上方弹出层不被遮挡（侧边栏右键/网页右键/权限提示/Overlay/Toast）","P0","M1","done","WebView2(HWND) 会压在 QtQuick.Popup/Popup 之上，导致菜单被盖住。","将关键弹出层改为顶层 Window 承载（PopupManager/OverlayHost/ToastHost），并统一右键菜单实现。","ui/qml/components/PopupManager.qml; ui/qml/components/OverlayHost.qml; ui/qml/components/ToastHost.qml; ui/qml/components/ContextMenu.qml; ui/qml/BrowserWindow.qml","","在网页区域与侧边栏区域右键菜单均可见且可点击；Overlay/Toast 不被遮挡。","打开任意网页 -> 右键；侧边栏 tab 右键；触发 toast/overlay","zen_browser_interaction_plan_v2.csv"
"developed","Layering","INT-037","Interaction","Toast/Overlay 在 WebView2 上层显示","P1","M2","done","ToastHost/OverlayHost 已改为顶层 Window，不再被 WebView2 HWND 遮挡。","保持 ToastHost/OverlayHost 走独立 Window（toast 使用 WindowDoesNotAcceptFocus，overlay 负责焦点/ESC 关闭）。","ui/qml/components/ToastHost.qml; ui/qml/components/OverlayHost.qml","INT-035","toast/overlay 在网页区域也可见且可交互（若含按钮）。","触发 toast/打开 glance overlay：总能显示在页面之上","zen_browser_interaction_plan.csv"
"developed","Layering/Popups","INT-V3-001","Interaction","侧栏(Tab/Group)右键菜单/更多菜单不被裁剪且靠近边缘自动翻转","P0","M4","done","PopupManager 已使用顶层 Window，但边缘/约束场景仍可能出现菜单看似“被盖住”。","增强 PopupManager：上下/左右翻转 + maxHeight 注入；修复 ContextMenu bool 绑定警告。","ui/qml/components/PopupManager.qml; ui/qml/components/ContextMenu.qml","","侧栏底部右键菜单完整可见；过高时可滚动；日志不再出现 ContextMenu undefined->bool。","缩小窗口高度 -> 右键最底部 tab/group -> 菜单自动翻转或出现滚动条，最后一项可点击","zen_browser_interaction_plan_v3.csv"
"developed","Media","ZEN-120","Feature","侧边栏媒体控制","P3","M4","done","已实现(基础)","在 XBrowser：可选实现媒体控制（依赖 WebView2/MediaSession API 能力）","ui/qml/components/MediaControls.qml (待建)","","播放媒体时出现控制条并可控制","","zen_browser_feature_impl_plan.csv"
"developed","Menubar","ZEN-210","Feature","菜单栏与窗口 scheme","P3","M4","done","部分实现","在 XBrowser：Windows-only 可简化，但需定义窗口主题/标题栏按钮策略","ui/qml/BrowserWindow.qml","","窗口/标题栏控件布局策略明确并可配置","","zen_browser_feature_impl_plan.csv"
"developed","Menus","INT-022","Interaction","Web 内容区右键菜单（页面/链接/图片）","P1","M2","done","当前 WebView2 右键菜单未接入（或缺失），用户操作路径长。","通过 WebView2 的 context menu 事件（或禁用默认并自绘）：实现最小菜单集（后退/前进/刷新/在新标签打开/复制链接等）。","src/engine/webview2/WebView2View.*; ui/qml/BrowserWindow.qml; (new) ui/qml/components/ContextMenu.qml","","右键在页面空白处/链接处能弹出对应菜单并可用。","右键链接 -> 复制链接地址 -> 剪贴板内容正确","zen_browser_interaction_plan.csv"
"developed","Meta","META-001","Feature","Snapshot","META","META","done","已实现(基础)","作为后续复刻 Zen 交互与布局的对照基线","reference/logs/zen_browser_feature_layout.csv","","CSV 中每行均可追溯到 Zen 源码路径","","zen_browser_feature_impl_plan.csv"
"developed","Meta","META-INT-001","Interaction","本 CSV 用于追踪「交互/动效/手感」差距并拆解可实现的迭代任务；每行尽量对应一个可验收的交互点。","META","META","done","已有竖直标签栏/工作区/分屏/Glance/Toast 等骨架，但交互细节与动效缺失较多。","把“看得见/摸得着”的交互差距拆成可逐步完成的小任务，并在实现后将 Status 从 todo 改为 done。","reference/logs/zen_browser_interaction_plan.csv","","团队对齐：后续交互优化均落到本表，并能用 Done_Criteria 验收。","打开 CSV -> 任选 3 行 -> 评审是否可实现/可验收","zen_browser_interaction_plan.csv"
"developed","Meta","META-INT-V2-001","Interaction","本CSV用于追踪「打不开/系统错误/层级遮挡/运行方式」等稳定性与开发体验问题，优先把应用做到“随时可运行、问题可定位”。","META","M0","done","此前存在：QML语法错误导致无法启动；WebView2/Qt运行时缺失时提示不清；WebView2 HWND 会遮挡 QML Popup。","建立稳定性/层级/部署/运行的闭环，并用可验收的 Done_Criteria 标记完成。","reference/logs/zen_browser_interaction_plan_v2.csv","","团队对齐：后续稳定性问题都落到本表并可验收。","打开CSV检查字段齐全且任务可落地","zen_browser_interaction_plan_v2.csv"
"developed","Meta","META-INT-V3-001","Interaction","本CSV用于追踪「Zen交互补齐（侧栏/扩展/分屏/多选）」的后续迭代；本轮目标：一次性把当前用户提出的差距补齐并可验收。","META","M4","done","已具备基础骨架（侧栏/分屏/扩展/PopupManager）。","本表内本轮相关任务全部落地并可复现验证。","reference/logs/zen_browser_interaction_plan_v3.csv","","本表内 INT-V3-* 全部为 done，且每行有可执行测试步骤。","打开CSV检查字段齐全且任务可落地","zen_browser_interaction_plan_v3.csv"
"developed","Meta","META-NEXT-V4-001","Interaction","本CSV用于追踪「Zen差距补齐：核心浏览器能力/Zen特色交互/工程化交付」的后续迭代；目标：把“能长期开发/可交付/可回归测试”的能力补齐。","META","M5","done","当前已完成侧栏/多选批量/分屏拖拽与持久化/扩展入口与弹层/运行部署闭环；但核心浏览器能力与多窗口/数据层仍缺失。","建立下一阶段(M5~M7)的任务拆解：每行可验收+可回归；实现后把 Status 从 todo 改为 done。","reference/logs/zen_browser_next_plan_v4.csv","","本表 NEXT-V4-* 全部可逐步落地并有测试步骤。","打开CSV -> 抽查5行：均有明确 Done_Criteria + Test_Steps","zen_browser_next_plan_v4.csv"
"developed","Migration","ZEN-221","Feature","UI/配置迁移","P2","M3","done","未实现","在 XBrowser：为 settings/session 引入 schemaVersion + 迁移器","(建议新增) src/core/Migrations.*","ZEN-162","配置文件带版本号且至少支持一次迁移示例","","zen_browser_feature_impl_plan.csv"
"developed","Mods","ZEN-100","Feature","Zen Mods 管理(CSS Mods)","P3","M4","done","实现中","在 XBrowser：可选实现“主题/皮肤包”系统（先做本地主题，后做在线）","ui/qml/components/Theme/*; src/core/ThemeManager.*","ZEN-052","可切换多套主题并持久化","","zen_browser_feature_impl_plan.csv"
"developed","Mods","ZEN-101","Feature","Mods Backend XPCOM","P3","M4","done","未实现","在 XBrowser：不需要 XPCOM，但需要等价的样式/主题应用层","","ZEN-100","主题应用不依赖 UI 线程阻塞且可缓存","","zen_browser_feature_impl_plan.csv"
"developed","Mods","ZEN-102","Feature","Marketplace WindowActor","P3","M4","done","已实现(主题商店最小闭环)","在 XBrowser：用 ThemePackModel/ThemesDialog 提供 URL 安装/卸载/更新检查闭环（作为 Zen mods marketplace 的等价能力）。","src/core/ThemePackModel.*; ui/qml/components/ThemesDialog.qml","ZEN-100","能完成安装/卸载/更新检查的闭环（可后置）","Tools -> Themes：Install(URL) / Uninstall / Check Updates","zen_browser_feature_impl_plan.csv"
"developed","Motion","INT-001","Interaction","全局动效 token + reduce motion 开关","P0","M1","done","QML 中动效零散（或没有）；未提供 reduce motion 设置。","新增 theme.motion* token（duration/easing）与 settings.reduceMotion；所有后续动效任务依赖此 token。","src/core/AppSettings.*; src/core/ThemeController.*; ui/qml/components/*","","可在设置中切换 reduce motion；主要动效均引用统一 token。","切换 reduce motion -> 观察侧栏/Toast/Overlay 动效明显减弱或关闭","zen_browser_interaction_plan.csv"
"developed","NativeUtils","ZEN-200","Feature","原生分享与触感反馈","P4","M5","done","部分实现","在 XBrowser：如要系统分享/触感，需写 Windows 原生集成（可后置）","","ZEN-092","可选：具备系统分享能力或明确不做","","zen_browser_feature_impl_plan.csv"
"developed","Navigation","NEXT-V4-004","Interaction","页内查找(Find-in-page)条","P0","M5","done","暂无页内查找。","实现 FindBar：Ctrl+F 呼出；对当前 WebView2 执行查找(DevTools协议/JS注入方案择一)。","ui/qml/components/FindBar.qml (new); src/engine/webview2/WebView2View.*","","Ctrl+F 可查找并高亮；Enter/Shift+Enter 跳转；Esc关闭。","打开网页 -> Ctrl+F -> 输入常见词 -> 高亮并可跳转","zen_browser_next_plan_v4.csv"
"developed","Notifications","ZEN-033","Feature","侧边栏通知组件","P2","M3","done","已实现(基础)","在 XBrowser：实现 SidebarNotification 组件（可插入队列）","ui/qml/components/SidebarNotification.qml","ZEN-013","侧边栏可堆叠通知并带关闭按钮/链接动作","","zen_browser_feature_impl_plan.csv"
"developed","Omnibox","INT-019","Interaction","地址栏聚焦/全选/ESC 还原规则","P1","M1","done","当前 onActiveFocusChanged 仅关闭 popup；缺少 ESC/还原规则。","补齐：Ctrl+L 全选；点击行为可配置；ESC：先关 popup，再还原为当前 URL，最后失焦。","ui/qml/BrowserWindow.qml; ui/qml/components/Shortcuts.qml; src/core/AppSettings.*","","地址栏行为符合 UX_SPEC；不会出现“ESC 没反应/内容丢失”。","输入一半 -> ESC：恢复当前页面 URL；Ctrl+L：全选","zen_browser_interaction_plan.csv"
"developed","Omnibox","INT-020","Interaction","建议下拉：键盘导航（↑↓/Enter/Tab）、分组展示、匹配高亮","P1","M2","done","当前仅实现 '>' 命令面板的简单 ListView。","实现真正的建议 popup：支持键盘导航；显示来源分组（tabs/history/bookmarks/actions）；高亮匹配子串。","ui/qml/BrowserWindow.qml; (new) src/core/OmniboxModel.*","","无需鼠标即可完成搜索/打开建议；UI 信息足够。","输入关键字 -> ↓ 选择 -> Enter 打开 -> URL 正确","zen_browser_interaction_plan.csv"
"developed","Omnibox","INT-021","Interaction","命令面板（>）增强：模糊搜索、显示快捷键、更多命令覆盖","P2","M2","done","当前 actions 为硬编码数组且数量少。","引入 CommandRegistry（C++ 或 QML 单例）：注册命令/快捷键/分组；命令面板按 query 过滤。","src/core/CommandBus.*; src/app/main.cpp; ui/qml/BrowserWindow.qml; ui/qml/components/Shortcuts.qml","","命令面板可搜索到主要功能；展示快捷键；执行后有反馈。","输入 >split -> 选中 -> Enter：分屏切换","zen_browser_interaction_plan.csv"
"developed","Output","NEXT-V4-005","Interaction","打印/另存为PDF","P1","M6","done","暂无打印/PDF。","接入 WebView2 Print/PrintToPdfAsync：提供 PrintDialog 与 Save PDF 路径选择。","src/engine/webview2/WebView2View.*; ui/qml/components/PrintDialog.qml (new)","","Ctrl+P 可打开打印；保存PDF成功生成文件。","打开网页 -> Ctrl+P -> 保存PDF -> 文件可打开","zen_browser_next_plan_v4.csv"
"developed","Overlay","INT-028","Interaction","OverlayHost：支持 ESC 关闭/动效/焦点管理","P2","M2","done","OverlayHost 仅支持点击遮罩关闭，无 ESC/动效/焦点。","为 OverlayHost 增加 Keys.onEscapePressed；增加 opacity 动画；必要时阻止底层点击。","ui/qml/components/OverlayHost.qml","INT-001","overlay 可 ESC 关闭且有淡入淡出；关闭后焦点回到合理位置。","打开 glance overlay -> ESC -> 关闭；焦点回到主窗口","zen_browser_interaction_plan.csv"
