"Bucket","Area","ID","ItemType","Title","Priority","Milestone","Status","XBrowser_Current","XBrowser_Task","Suggested_Files","DependsOn","Done_Criteria","Test_Steps","SourceCsv"
"developed","Packaging","INT-V2-004","Interaction","运行时缺少 Qt 动态库/平台插件的问题一劳永逸","P0","M1","done","此前 Debug/Release 环境下偶发 Qt DLL/平台插件缺失。","构建后自动运行 windeployqt 并生成/复制 qt.conf，使 build\\<Config>\\xbrowser.exe 可直接双击运行。","src/CMakeLists.txt; cmake/qt.conf; scripts/deploy.ps1","","构建完成后 build\\Debug\\xbrowser.exe 可直接运行且不依赖 PATH；qt.conf 存在。","cmake --build build --config Debug -> 双击/运行 build\\Debug\\xbrowser.exe","zen_browser_interaction_plan_v2.csv"
"developed","Packaging","NEXT-V4-013","Interaction","Release打包(稳定可交付目录/Installer)","P2","M7","done","目前以开发部署为主(依赖windeployqt)。","新增 `scripts/package.ps1` 生成 `dist/`；可选 NSIS/MSIX 打包流程(先文档)。","scripts/package.ps1 (new); docs/BUILDING.md","","`dist/Release` 内双击可运行且不依赖Qt PATH。","运行 package -> 在无Qt环境机器测试运行(或通过 clean env 验证)","zen_browser_next_plan_v4.csv"
"developed","Permissions","INT-024","Interaction","权限请求弹窗：用 doorhanger + 记忆决策（本次/永远允许/永远拒绝）","P0","M2","done","当前未处理 WebView2 权限请求；无 UI。","监听 WebView2 permission events；弹出 doorhanger；将决策写入站点权限存储；并提供撤销入口。","src/engine/webview2/WebView2View.*; (new) src/core/SitePermissionsStore.*; ui/qml/components/SiteInfoPanel.qml","INT-023","权限请求能正确提示并记录；同站点再次请求按记忆处理。","打开请求麦克风的网站 -> 弹出 doorhanger -> 选择永远拒绝 -> 刷新后不再弹","zen_browser_interaction_plan.csv"
"developed","Polish","INT-034","Interaction","tooltip/标题截断：hover 显示完整 title+URL","P3","M3","done","当前标题截断但无 tooltip。","为 tab delegate 增加 ToolTip，展示完整 title 与 URL（可选）。","ui/qml/BrowserWindow.qml","","标题截断时 hover 可看全信息。","把侧栏变窄 -> hover 某 tab -> tooltip 显示完整标题","zen_browser_interaction_plan.csv"
"developed","Privacy","NEXT-V4-014","Interaction","站点权限中心(全局管理+按站点)","P2","M6","done","已有站点权限面板(按站点)，但缺少全局管理页与批量清理。","新增 PermissionsCenter：列出已记录站点权限并可搜索/重置；与 SitePermissionsStore 打通。","src/core/SitePermissionsStore.*; ui/qml/components/PermissionsCenter.qml (new)","NEXT-V4-001","可查看所有已记录站点权限并一键重置。","访问站点触发权限->允许->在权限中心看到->点击重置->返回为默认","zen_browser_next_plan_v4.csv"
"developed","Profiles","NEXT-V4-007","Interaction","多Profile/隐身模式(Incognito)","P1","M6","done","已支持 --profile 与 --incognito，分别隔离数据目录与 WebView2 userDataFolder。","为 WebView2 提供 profileId/userDataFolder；隐身使用临时目录并退出即清理；扩展按profile隔离。","src/app/main.cpp; src/engine/webview2/WebView2View.*; docs/RUNNING.md","NEXT-V4-006","可打开“隐身窗口”且关闭后无历史/缓存残留(最小可验收)。","打开隐身窗口->访问站点->关闭->再开隐身->历史为空","zen_browser_next_plan_v4.csv"
"developed","Session","ZEN-160","Feature","Tab Zen 元数据恢复","P1","M2","done","已实现(基础)","在 XBrowser：实现会话持久化（tab 列表+active+workspace）并在启动恢复","(建议新增) src/core/SessionStore.*; src/core/WorkspaceModel.*","ZEN-050","重启后恢复 tab 列表与当前工作区/当前 tab","","zen_browser_feature_impl_plan.csv"
"developed","Session","ZEN-162","Feature","侧边栏状态文件(zen-sessions)","P1","M2","done","已实现(基础)","在 XBrowser：定义 session JSON/SQLite schema，覆盖 workspace/tab/group/split 状态","docs/DESIGN.md; (建议新增) src/core/Storage/*","ZEN-160","有稳定的数据结构与版本迁移策略（至少预留 version 字段）","","zen_browser_feature_impl_plan.csv"
"developed","Settings","NEXT-V4-001","Interaction","设置中心(统一入口+分类页)","P0","M5","done","当前设置分散在菜单与零散对话框，缺少集中“设置中心”。","新增 SettingsDialog/SettingsPage：左侧分类+右侧内容；所有设置项统一落到 AppSettings/Stores 并可持久化。","ui/qml/components/SettingsDialog.qml (new); src/core/AppSettings.*; ui/qml/BrowserWindow.qml","","存在可打开的设置中心且至少包含：外观/运行/快捷键/关于。","打开 Tools->Settings -> 修改3项 -> 重启 -> 保持生效","zen_browser_next_plan_v4.csv"
"developed","Shortcuts","NEXT-V4-011","Interaction","快捷键可配置(最小闭环)","P2","M7","done","已有固定快捷键映射，但不可配置。","新增 ShortcutStore：默认映射+用户覆盖；Settings中可编辑(简单文本/表格)。","src/core/ShortcutStore.* (new); ui/qml/components/ShortcutsEditor.qml (new)","NEXT-V4-001","可修改1个快捷键并立即生效且重启保持。","设置里修改“新标签”快捷键->立刻可用->重启后仍可用","zen_browser_next_plan_v4.csv"
"developed","Sidebar","ZEN-013","Feature","底部按钮条","MVP","M1","done","已实现(基础)","在 XBrowser 侧边栏底部加入固定按钮区：工作区切换、New、侧边栏展开/收起","ui/qml/BrowserWindow.qml; ui/qml/components/SidebarFooter.qml","ZEN-011","底部按钮区固定可用，支持新增标签/切换工作区/收起侧栏","","zen_browser_feature_impl_plan.csv"
"developed","Sidebar","INT-002","Interaction","侧栏展开/收起：宽度+透明度过渡","P0","M1","done","当前通过 Layout.preferredWidth=0 + visible 直接切换，无过渡。","为侧栏容器增加 width/opacity 动画；收起时保持内容不抖动（避免 layout reflow 造成跳动）。","ui/qml/BrowserWindow.qml","INT-001","展开/收起侧栏有一致过渡；且不会引起内容区闪烁/跳动。","连续快速切换侧栏 10 次：无闪烁、无卡死、最终状态正确","zen_browser_interaction_plan.csv"
"developed","Sidebar","INT-004","Interaction","侧栏宽度拖拽：光标/最小最大/双击复位","P1","M1","done","当前可拖拽但无光标提示，复位/限制规则不明显。","为拖拽区域设置 Qt.SizeHorCursor；增加双击复位；统一 min/max（与布局一致）。","ui/qml/BrowserWindow.qml; src/core/AppSettings.*","INT-001","拖拽时光标正确；宽度被限制；双击手柄回到默认值并持久化。","拖拽到极小/极大 -> 不越界；双击 -> 回到默认宽度","zen_browser_interaction_plan.csv"
"developed","Sidebar","NEXT-V4-010","Interaction","侧栏面板体系(书签/历史/下载/扩展)统一入口","P1","M6","done","目前下载/扩展多为独立dialog/overlay。","引入 SidebarPanels：统一在侧栏/顶部按钮打开书签/历史/下载/扩展面板；复用 OverlayHost/PopupManager。","ui/qml/BrowserWindow.qml; ui/qml/components/SidebarPanels.qml (new)","NEXT-V4-001","侧栏可切换至少2种面板且打开/关闭路径短且不遮挡。","打开书签面板->切换到下载面板->返回tabs列表","zen_browser_next_plan_v4.csv"
"developed","Sidebar/CustomizableUI","ZEN-014","Feature","顶部按钮条与 splitter","MVP","M1","done","已实现(基础)","在 XBrowser：实现侧边栏可拖拽宽度（splitter），并持久化到设置","ui/qml/BrowserWindow.qml; src/core/*Settings* (待建)","ZEN-011","侧边栏宽度可拖拽调整，重启后保持","","zen_browser_feature_impl_plan.csv"
"developed","Sidebar/Essentials","INT-V3-004","Interaction","pinned/essentials 布局细节：窄态更像 Zen（图标栅格）且 Ctrl/Shift 多选与 tooltip 不退化","P1","M4","done","Essentials 之前在窄态仍为单列列表（仅隐藏文本）。","sidebarIconOnly 时切换为 GridView 图标栅格；保留点击激活、Ctrl/Shift 多选、tooltip。","ui/qml/BrowserWindow.qml; src/core/TabFilterModel.*; src/core/TabModel.*","","侧栏窄态 essentials 显示为图标栅格；Ctrl/Shift 多选仍可用；tooltip 可见。","把侧栏拖到很窄 -> essentials 变为 grid；Ctrl/Shift 多选仍可用；hover 显示标题/URL tooltip","zen_browser_interaction_plan_v3.csv"
"developed","SiteDataPanel","ZEN-091","Feature","站点数据/扩展统一面板","P3","M4","done","未实现","在 XBrowser：可选实现 Site Panel（权限/下载/扩展入口/复制 URL）作为侧栏或弹层","ui/qml/components/SitePanel.qml (待建)","ZEN-016","存在可打开的站点面板并至少包含复制 URL/权限入口","","zen_browser_feature_impl_plan.csv"
"developed","SiteInfo","INT-023","Interaction","站点信息/权限 doorhanger：锚定地址栏左侧/站点按钮","P1","M2","done","当前 sitePanelButton 仅 toast 'not implemented'。","实现 SiteInfoPanel：展示 origin/证书状态（可先简化）+ 常用权限开关入口；关闭策略 CloseOnEscape/点击外部。","ui/qml/BrowserWindow.qml; ui/qml/components/PopupManager.qml; (new) ui/qml/components/SiteInfoPanel.qml","","点击站点按钮弹出面板；关闭策略符合预期；信息不会空白。","打开 https 站点 -> 点站点按钮 -> 面板显示 origin","zen_browser_interaction_plan.csv"
"developed","SplitView","INT-V3-002","Interaction","分屏网格(2x2/3 panes)分隔线可拖拽并可双击复位","P0","M4","done","2-pane 已可拖拽；网格模式此前固定 50/50。","新增 gridSplitRatioX/Y 并持久化；网格竖/横分隔线支持拖拽与双击复位。","src/core/SplitViewController.*; src/core/SessionStore.*; ui/qml/BrowserWindow.qml; tests/TestSplitViewController.cpp; tests/TestSessionStore.cpp","","paneCount>2 时竖/横分隔线可拖拽；双击复位；重启后比例保持。","拖拽竖线/横线 -> pane 大小变化；双击 -> 回到均分；重启应用 -> 比例仍在","zen_browser_interaction_plan_v3.csv"
"developed","SplitView","ZEN-070","Feature","分屏/网格分割","P1","M2","done","部分实现","在 XBrowser：实现 SplitView 容器（2-4 panes）+ 每 pane 绑定 tab/webview","ui/qml/components/SplitView.qml (待建); src/core/TabModel.*","ZEN-011","能把当前视图分成 2 个 pane 并分别打开不同 tab","","zen_browser_feature_impl_plan.csv"
"developed","SplitView","INT-030","Interaction","分屏焦点与键盘：明确当前 pane，高亮边框，快捷键切换 pane","P2","M2","done","当前分屏存在，但 focusedPane 交互/视觉弱。","点击 pane 设为 focusedPane；用快捷键（如 Ctrl+Alt+←/→）切换；用边框高亮。","ui/qml/BrowserWindow.qml; src/core/SplitViewController.*; ui/qml/components/Shortcuts.qml","","分屏焦点清晰；键盘可切换；操作不影响导航。","开启分屏 -> 点击右侧 -> 高亮右侧 -> 快捷键切回左侧","zen_browser_interaction_plan.csv"
"developed","SplitView","ZEN-071","Feature","Overlay 与 Dropzone","P2","M3","done","已实现(基础)","在 XBrowser：实现内容区 Dropzone（拖拽高亮边缘）并触发 split/rearrange","ui/qml/components/SplitDropzone.qml (待建)","ZEN-070","拖拽 tab 到内容区边缘时显示可放置区域并完成分屏","","zen_browser_feature_impl_plan.csv"
"developed","SplitView","INT-031","Interaction","分屏拖拽手柄：光标/双击复位/持久化比例","P3","M3","done","当前可拖拽但无光标/复位/持久化。","为 splitHandle 设置 Qt.SizeHorCursor；双击复位 splitPos；可选：存到 settings/session。","ui/qml/BrowserWindow.qml; src/core/SessionStore.*; src/core/AppSettings.*","INT-001","手柄交互完整；分屏比例可复位且可记忆。","拖拽比例 -> 重启 -> 比例仍在（若开启持久化）","zen_browser_interaction_plan.csv"
"developed","Stability","NEXT-V4-012","Interaction","可视化日志/诊断面板(开发用)","P2","M6","done","已有日志文件与WebView2缺失提示，但缺少应用内诊断页。","新增 DiagnosticsDialog：展示版本/Qt/WebView2版本/路径/最近错误/打开日志按钮。","ui/qml/components/DiagnosticsDialog.qml (new); src/core/AppPaths.*","","可从菜单打开诊断页并一键打开日志文件夹。","触发一次错误->打开诊断页->看到错误摘要->点击打开日志目录","zen_browser_next_plan_v4.csv"
"developed","Startup","ZEN-020","Feature","预加载模块(更早于 global-scripts)","MVP","M1","done","已实现(基础)","在 XBrowser：应用启动期先初始化 Workspaces/Settings，再构建 UI","src/app/main.cpp; src/core/*Workspace* (待建)","","启动顺序明确：Settings/Workspace -> UI -> WebView2","","zen_browser_feature_impl_plan.csv"
"developed","Startup","ZEN-021","Feature","加载 CSS 与 Feature Modules","MVP","M1","done","已实现(基础)","在 XBrowser：拆分 QML 样式/主题变量与组件模块加载，保证主窗口只依赖少量入口文件","ui/qml/BrowserWindow.qml; ui/qml/components/*","ZEN-020","主窗口入口清晰，主题与功能模块可按需加载/开关","","zen_browser_feature_impl_plan.csv"
"developed","Startup","INT-V2-001","Interaction","QML加载失败时可定位且不阻塞主流程","P0","M1","done","曾出现 BrowserWindow.qml 语法错误/重复 id 导致 Main.qml 加载失败。","修复QML语法/重复id类问题，保证至少能启动到主界面并输出可用日志。","ui/qml/BrowserWindow.qml; ui/ui.qrc","","应用可启动且日志不再出现“QQmlApplicationEngine failed to load component”。","构建 Debug -> 启动 -> 检查 %LOCALAPPDATA%\\XBrowser\\XBrowser\\xbrowser.log","zen_browser_interaction_plan_v2.csv"
"developed","Tabs","ZEN-040","Feature","垂直标签样式栈","MVP","M1","done","已实现(基础)","在 XBrowser：定义 Sidebar Tabs 视觉规范（间距/圆角/hover/选中/滚动）并组件化","ui/qml/components/TabList.qml; ui/qml/components/TabItem.qml","ZEN-031","tab 列表支持选中/hover/滚动/右键菜单入口","","zen_browser_feature_impl_plan.csv"
"developed","Tabs","INT-005","Interaction","标签列表增删动效（add/remove/move transition）","P1","M1","done","ListView 默认行为：插入/删除基本无过渡。","为 tab ListView 增加 add/remove/move transitions（与 motion token 统一）；避免影响拖拽性能。","ui/qml/BrowserWindow.qml","INT-001","新增/关闭/移动标签时有一致过渡，且拖拽依然顺滑。","新建 5 个 tab -> 关闭中间 2 个 -> 列表过渡自然且不卡","zen_browser_interaction_plan.csv"
"developed","Tabs","INT-006","Interaction","标签项信息密度：favicon/加载中/音频状态（可渐进）","P1","M1","done","当前仅显示 title 文本，无 favicon/加载/音频。","先：为 active tab 采集 title/url/favicon/audio 状态并写回 TabModel；后：显示在每个 tab 项里。","src/core/TabModel.*; src/engine/webview2/WebView2View.*; ui/qml/BrowserWindow.qml","INT-010","tab 列表能显示 favicon（至少 active tab）与加载/音频状态指示。","打开播放音频页面 -> tab 上出现音频标识；加载中出现 spinner","zen_browser_interaction_plan.csv"
"developed","Tabs","INT-009","Interaction","拖拽排序：插入指示线 + 自动滚动","P1","M1","done","当前 DropArea 直接 moveTabBefore，无插入提示/自动滚动。","增加拖拽 hover 计算插入位置并渲染指示线；拖拽到边缘触发 listView.contentY 滚动。","ui/qml/BrowserWindow.qml","INT-005","拖拽排序可预期；长列表可自动滚动；不会误排序。","创建 30 个 tab -> 拖拽第 1 个到末尾：能自动滚动并准确落位","zen_browser_interaction_plan.csv"
"developed","Tabs","NEXT-V4-008","Interaction","Tab搜索/快速切换(Switcher)","P1","M5","done","已实现 TabSwitcher（Ctrl+K 弹层搜索 title/url，按最近使用排序）。","新增 Tab Switcher：Ctrl+K 搜索tab(title/url)并回车切换；支持最近使用排序。","src/core/TabSwitcherModel.*; src/core/TabModel.*; ui/qml/components/TabSwitcher.qml (new); ui/qml/BrowserWindow.qml","NEXT-V4-001","可在弹层中搜索tab并切换焦点到对应pane/tab。","打开10个tab -> Ctrl+K -> 输入关键字 -> 回车切换正确","zen_browser_next_plan_v4.csv"
"developed","Tabs","ZEN-041","Feature","Essentials(固定/常用标签)区","P1","M2","done","已实现(基础)","在 XBrowser：增加 Pinned/Essentials 数据结构（可选：两级固定）并渲染为网格或列表","src/core/TabModel.*; ui/qml/components/EssentialsGrid.qml (待建)","ZEN-012","可把标签标记为 essentials，并在侧边栏独立显示","","zen_browser_feature_impl_plan.csv"
"developed","Tabs","INT-007","Interaction","标签项 hover 操作：仅在 hover 显示关闭/置顶/更多","P2","M2","done","当前关闭/置顶按钮常驻（Essentials/普通 tab），视觉噪音较大。","改成 hover 才显示按钮（或仅 active/hover 显示）；保留键盘/右键路径。","ui/qml/BrowserWindow.qml","INT-001","非 hover 状态更简洁；hover 时操作按钮出现且不抖动。","在 tab 列表快速移动鼠标：按钮出现/消失稳定且无布局跳动","zen_browser_interaction_plan.csv"
"developed","Tabs","INT-008","Interaction","中键关闭标签（列表项）","P2","M2","done","当前仅有按钮/快捷键关闭。","为 tab delegate 增加 MiddleButton 关闭逻辑；需避免与拖拽冲突。","ui/qml/BrowserWindow.qml","","中键点击 tab 关闭；拖拽不受影响。","中键点任意 tab -> 关闭；按住左键拖拽 -> 不触发关闭","zen_browser_interaction_plan.csv"
"developed","Tabs","INT-012","Interaction","标签右键菜单补齐常用项（Duplicate/Copy URL/Open in Split/Move to Workspace 等）","P2","M2","done","目前 tab 右键菜单只有 Close/Ungroup 等少量项。","扩展 tab context menu：复制链接、复制标题、重复标签、在分屏打开、移动到工作区、新窗口等。","ui/qml/BrowserWindow.qml; src/app/main.cpp（commands）","","右键菜单覆盖高频动作；触发后状态正确且有反馈。","右键 tab -> Duplicate -> 新 tab 出现且 URL 一致","zen_browser_interaction_plan.csv"
"developed","Tabs","INT-013","Interaction","分组交互：拖拽到组标题即可归组；拖到空白处取消分组","P2","M2","done","当前只能在组内排序，归组路径依赖菜单按钮。","为组标题/空白区域添加 DropArea：drop 时 setGroupIdAt；并提供视觉提示。","ui/qml/BrowserWindow.qml; src/core/BrowserController.*","","拖拽 tab 到组标题可归组；拖拽到“Tabs”空白区可取消分组。","拖拽某 tab 到 Group A 标题 -> 出现在组内；再拖到空白区 -> 回到未分组列表","zen_browser_interaction_plan.csv"
"developed","Tabs","INT-014","Interaction","组标题：重命名/颜色/折叠动效（渐进）","P2","M2","done","目前组名固定（Group N），折叠瞬时且无重命名入口。","为 TabGroupModel 增加 rename API；UI 提供双击/菜单重命名；折叠加过渡。","src/core/TabGroupModel.*; ui/qml/BrowserWindow.qml","INT-001","可重命名组；折叠/展开有过渡；状态持久化到 session.json。","重命名组 -> 重启应用 -> 组名仍存在","zen_browser_interaction_plan.csv"
"developed","Tabs","ZEN-042","Feature","固定标签管理器","P2","M3","done","已实现(基础)","在 XBrowser：实现 pinned tab 的“关闭键行为策略”与“重置到初始 URL(可选)”","src/core/TabModel.*; src/core/BrowserController.*","ZEN-041","Pinned tab 的关闭策略可配置，且不影响普通 tab","","zen_browser_feature_impl_plan.csv"
"developed","Tabs","ZEN-043","Feature","标签重命名","P2","M3","done","已实现(基础)","在 XBrowser：TabItem 支持 inline rename，并持久化到会话/工作区","src/core/TabModel.*; ui/qml/components/TabItem.qml","ZEN-040","双击可编辑标题并保存，刷新/切换标签不丢失","","zen_browser_feature_impl_plan.csv"
"developed","Tabs","ZEN-044","Feature","无历史返回自动关标签","P3","M4","done","已实现(基础)","在 XBrowser：可选实现类似规则（需 WebView2 历史判断）","src/engine/webview2/WebView2View.*; src/core/BrowserController.*","","当后退无历史且符合条件时自动关闭当前 tab","","zen_browser_feature_impl_plan.csv"
"developed","Theme","ZEN-181","Feature","全局样式装载点","MVP","M1","done","已实现(基础)","在 XBrowser：把布局规则放到 QML 组件与 theme vars，而不是散落在 JS","ui/qml/components/*","ZEN-180","样式可通过少量 theme vars 调整而不需要全局搜索替换","","zen_browser_feature_impl_plan.csv"
"developed","Theme","ZEN-180","Feature","主题变量注入(Accent/Radius/Separation)","P2","M3","done","已实现(基础)","在 XBrowser：用 QML 单例 Theme（properties）驱动全局样式，避免散落硬编码","ui/qml/components/Theme.qml (待建)","ZEN-052","切换主题/工作区时，UI 颜色/圆角/间距同步更新","","zen_browser_feature_impl_plan.csv"
"developed","Toast","INT-027","Interaction","Toast 动效与队列体验：滑入/淡入，支持点击外部不阻塞操作","P2","M2","done","当前 ToastHost Behavior on visible 无效（bool 动画）；出现/消失突兀。","改为对 opacity/y 做动画；visible 由 opacity==0 控制或用 states/transitions；与 reduce motion 联动。","ui/qml/components/ToastHost.qml","INT-001","toast 有平滑过渡；多条 toast 队列展示自然。","连续触发 5 次 toast -> 逐条显示且动效一致","zen_browser_interaction_plan.csv"
"developed","Updates","ZEN-034","Feature","版本更新提示与窗口动画","P3","M4","done","未实现","在 XBrowser：可选实现更新提示（未来自动更新/版本公告用）","docs/ (可选); ui/qml/components/SidebarNotification.qml","ZEN-033","可记录上次版本并在变更时提示一次","","zen_browser_feature_impl_plan.csv"
"developed","Urlbar","ZEN-090","Feature","Zen Omnibox Provider(快速动作)","P2","M3","done","部分实现","在 XBrowser：规划 Omnibox 架构（建议源：历史/书签/动作/工作区），先实现动作建议","ui/qml/components/Omnibox.qml (待建); src/core/Suggestions* (待建)","ZEN-017","地址栏输入可出现“动作”建议并可执行","","zen_browser_feature_impl_plan.csv"
"developed","Urlbar","ZEN-092","Feature","复制 URL 按钮与 Share","P2","M3","done","部分实现","在 XBrowser：实现复制 URL（剪贴板）+ 可选 Windows ShareSheet","src/core/BrowserController.*; src/core/Clipboard* (待建)","ZEN-032","复制 URL 有反馈；可选提供系统分享入口","","zen_browser_feature_impl_plan.csv"
"developed","WebView2","INT-V2-003","Interaction","缺少 WebView2 Runtime 时给出明确可操作提示","P0","M1","done","此前缺少 runtime 时只表现为“系统找不到文件”且页面区域空白。","在 WebView2 初始化失败时暴露 initError 并在页面内显示“安装/重试”引导。","src/engine/webview2/WebView2View.*; ui/qml/BrowserWindow.qml","","缺少 runtime 时页面出现提示并提供安装链接；有 runtime 时不影响正常使用。","卸载/隔离 WebView2 Runtime 后启动 -> 看到提示 -> 点击安装链接","zen_browser_interaction_plan_v2.csv"
"developed","Welcome","ZEN-190","Feature","首次启动欢迎页","P4","M5","done","已实现(基础)","在 XBrowser：可选实现 onboarding（首次启动引导/快捷键提示）","ui/qml/components/Onboarding.qml (待建)","","首次启动展示一次并可跳过","","zen_browser_feature_impl_plan.csv"
"developed","Window/Layout","ZEN-010","Feature","主容器包装","MVP","M1","done","已实现(基础)","在 XBrowser 里定义等价的根布局容器（QML 根 Item），支持全局 overlay/动画层","ui/qml/BrowserWindow.qml","","存在可覆盖全窗口的 overlay 层与根容器引用","","zen_browser_feature_impl_plan.csv"
"developed","Window/Layout","ZEN-011","Feature","AppContent 与 Navbar 容器","MVP","M1","done","已实现(基础)","在 XBrowser 中拆分：侧边栏区 + 顶部/侧边地址栏区 + 内容区容器","ui/qml/BrowserWindow.qml; ui/qml/components/*","ZEN-010","布局可独立显示/隐藏地址栏区域且不影响内容区渲染","","zen_browser_feature_impl_plan.csv"
"developed","Window/Layout","ZEN-012","Feature","Tabstrip 注入 Essentials 与 Wrapper","MVP","M1","done","已实现(基础)","在 XBrowser 侧边栏中增加 Essentials 区域（固定/常用标签）并与普通标签列表分区","src/core/TabModel.*; ui/qml/BrowserWindow.qml","ZEN-010","侧边栏有可配置的固定区与普通区，支持基本增删/激活","","zen_browser_feature_impl_plan.csv"
"developed","Window/Layout","ZEN-015","Feature","Tabbox 附加元素(Toast/Overlays)","MVP","M1","done","已实现(基础)","在 XBrowser：实现 Toast 容器与 Overlay host（Split/Glance 等未来功能共用）","ui/qml/components/OverlayHost.qml; ui/qml/components/ToastHost.qml","ZEN-010","可从任意逻辑触发 toast；overlay 可覆盖内容区并响应点击关闭","","zen_browser_feature_impl_plan.csv"
"developed","Window/Layout","ZEN-016","Feature","Zen PopupSet 与 Panels","P1","M2","done","部分实现","在 XBrowser：用 QML Popup/Drawer/Sheet 体系替代，并统一管理打开/关闭与定位","ui/qml/components/Popups/* (待建)","ZEN-010","至少有一个统一 Popup 管理器，可按锚点弹出","","zen_browser_feature_impl_plan.csv"
"developed","Windows","NEXT-V4-006","Interaction","多窗口(New Window/Close Window/Window->Tabs)","P1","M6","done","已实现 New Window（启动新进程）与入口/快捷键。","新窗口通过 startDetached 打开新进程（隔离 profile，避免多实例写同一数据目录）。","src/app/main.cpp; ui/qml/BrowserWindow.qml; ui/qml/components/Shortcuts.qml; docs/RUNNING.md","NEXT-V4-001","可打开第二个窗口且各自可独立浏览；关闭后不崩溃。","打开新窗口 -> 两窗口分别打开不同网址 -> 关闭其中一个 -> 另一个仍可用","zen_browser_next_plan_v4.csv"
"developed","WindowSync","ZEN-161","Feature","多窗口同步","P3","M4","done","已记录(设计/约束)","已记录：当前单窗口；如需多窗口共享工作区与 tab 元数据，采用 versioned state + 显式同步层，避免共享 WebView 实例。","docs/ZEN_COMPAT.md; src/core/SessionStore.*","ZEN-160","（可选）多窗口共享同一组工作区与 tab 元数据","打开 docs/ZEN_COMPAT.md 的 ZEN-161 小节","zen_browser_feature_impl_plan.csv"
"developed","Workspace","INT-016","Interaction","工作区 UI：从 ComboBox 改为 Zen 风格（列表/胶囊/图标），并支持滚动","P2","M2","done","当前 SidebarFooter 用 ComboBox 切换工作区，交互偏“设置项”。","实现侧栏底部 workspace strip：显示名称/颜色；可滚动；点击切换；保留“+”。","ui/qml/components/SidebarFooter.qml; ui/qml/BrowserWindow.qml","","workspace 切换无需打开下拉框；切换有明确选中态。","创建 5 个 workspace -> 点击任意 workspace -> tab 列表切换正确","zen_browser_interaction_plan.csv"
"developed","Workspace","INT-017","Interaction","工作区切换快捷键（可配置）","P2","M2","done","当前仅支持菜单/ComboBox。","新增快捷键：Alt+1..9（建议）用于切换工作区；并在命令面板中可发现。","ui/qml/components/Shortcuts.qml; src/app/main.cpp（commands）","","快捷键可切换工作区且与 Ctrl+Tab 等不冲突。","创建 3 个 workspace -> Alt+2 切到第 2 个 -> UI 更新","zen_browser_interaction_plan.csv"
"developed","Workspace","INT-018","Interaction","工作区级 UI 状态：每个 workspace 记住侧栏宽度/展开/上次激活 tab 等","P2","M2","done","当前 AppSettings 为全局（sidebarWidth/sidebarExpanded），非 workspace 级。","将部分 UI 状态迁移到 WorkspaceModel（可先仅 sidebarWidth/sidebarExpanded）；切换 workspace 自动应用。","src/core/WorkspaceModel.*; src/core/AppSettings.*; src/core/SessionStore.*; ui/qml/BrowserWindow.qml","","切换 workspace 时侧栏状态随之变化并被保存。","Workspace A 设为窄侧栏 -> 切到 B 设为宽 -> 来回切换：宽度分别记住","zen_browser_interaction_plan.csv"
"developed","Workspaces","ZEN-050","Feature","工作区总控","MVP","M1","done","已实现(基础)","在 XBrowser：新增 WorkspaceModel + WorkspaceController；将 TabModel 按 workspace 分桶","(建议新增) src/core/WorkspaceModel.*; src/core/WorkspaceController.*","ZEN-017","可创建多个工作区，切换时 tab 列表与活动 tab 隔离","","zen_browser_feature_impl_plan.csv"
"developed","Workspaces","ZEN-051","Feature","自定义元素与 UI","MVP","M1","done","已实现(基础)","在 XBrowser：以 QML 组件实现 WorkspaceSwitcher + WorkspaceView + WorkspaceCreationDialog","ui/qml/components/WorkspaceSwitcher.qml; ui/qml/components/WorkspaceCreationDialog.qml","ZEN-050","有工作区切换器；可创建/重命名/删除工作区","","zen_browser_feature_impl_plan.csv"
"developed","Workspaces","ZEN-053","Feature","工作区书签/快速入口存储","P3","M4","done","已实现(基础)","在 XBrowser：新增本地存储（JSON/SQLite）保存 workspace 的快捷入口","(建议新增) src/core/Storage/*; docs/DESIGN.md","ZEN-050","能持久化 workspace 的快捷入口列表并在 UI 显示","","zen_browser_feature_impl_plan.csv"
"developed","Workspaces/Theme","ZEN-052","Feature","工作区主题与渐变生成","P2","M3","done","已实现(基础)","在 XBrowser：设计主题系统（全局+工作区覆盖），先实现 accent color + background gradient","ui/qml/components/Theme/* (待建)","ZEN-050","切换工作区时主题联动更新（至少颜色/背景）","","zen_browser_feature_impl_plan.csv"
