"Bucket","Area","ID","ItemType","Title","Priority","Milestone","Status","XBrowser_Current","XBrowser_Task","Suggested_Files","DependsOn","Done_Criteria","Test_Steps","SourceCsv","SourceKind"
"developing","Omnibox","NEXT-V5-063","Interaction","Omnibox favicon：建议项显示网站图标并缓存","P3","M22","todo","建议项无 favicon 或仅默认图标","增加 FaviconCache：获取并缓存 favicon；Omnibox 渲染 icon；失败回退默认图标","src/core/FaviconCache.* (new); src/core/OmniboxUtils.*; ui/qml/BrowserWindow.qml","","建议列表能显示常见站点 favicon 且二次打开命中缓存","输入访问过的站点域名->建议显示 favicon->重启后仍可快速显示；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Output","NEXT-V5-009","Interaction","查看页面源代码：菜单/右键打开 SourceViewer","P2","M15","todo","当前无 View Source 能力","增加 view-source 命令；通过 ExecuteScript 获取 outerHTML 并打开内部 SourceViewer 页面展示；支持复制与查找","src/engine/webview2/WebView2View.*; ui/qml/BrowserWindow.qml; ui/qml/components/FindBar.qml; ui/qml/components/ContextMenu.qml; ui/qml/components/OverlayHost.qml","","可在新标签看到当前页面 HTML 文本且可复制","打开网页->右键->View Source->出现新标签显示 HTML->Ctrl+F 查找->Ctrl+A 复制；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Output","NEXT-V5-010","Interaction","SourceViewer 细节：语法高亮与大文件性能","P3","M15","todo","SourceViewer 尚无高亮与行号（待实现）","SourceViewer 增加行号与基础高亮（HTML tag/attr）；对大文本使用延迟渲染或分页；支持保存到文件","ui/qml/components/SourceViewer.qml (new); ui/qml/BrowserWindow.qml","NEXT-V5-009","打开大型页面源代码时滚动与搜索仍流畅且可另存为","打开较大网页->View Source->快速滚动与 Ctrl+F->无明显卡顿；点击 Save->生成文件；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Packaging","NEXT-V5-058","Interaction","Installer/分发：生成可运行目录并可选 MSIX/NSIS","P3","M21","todo","package.ps1 已有但缺少 installer 路线与版本化输出","扩展 scripts/package.ps1：输出带版本号目录；新增 scripts/package_msix.ps1 或文档指南；确保 WebView2Loader 与 Qt plugins 齐全","scripts/package.ps1; scripts/package_msix.ps1 (new); docs/BUILDING.md","NEXT-V5-056","dist 目录可在无 Qt 环境机器运行且文档说明清晰","运行 package 脚本->在干净环境运行 dist\\Release\\xbrowser.exe；检查可启动","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Panels/Web","NEXT-V5-023","Interaction","书签面板：树状视图与文件夹管理","P1","M17","todo","BookmarksPanel 为简单列表（无树）","BookmarksPanel 改为 TreeView/嵌套 ListView；支持展开折叠；右键菜单：新建文件夹/重命名/删除/在新标签打开全部","ui/qml/components/BookmarksPanel.qml; ui/qml/components/ContextMenu.qml; ui/qml/components/PopupManager.qml","NEXT-V5-022","文件夹可展开折叠且菜单操作生效不被裁剪","打开书签面板->创建文件夹->展开/折叠->右键重命名->删除；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Panels/Web","NEXT-V5-029","Interaction","历史面板：搜索+分组+右键删除/复制","P1","M17","todo","HistoryPanel 仅支持简单列表与清理能力有限","HistoryPanel 增加搜索框；按天分组；条目右键菜单：Open/Copy URL/Delete；支持多选批量删除","ui/qml/components/HistoryPanel.qml; ui/qml/components/ContextMenu.qml; src/core/HistoryFilterModel.*","NEXT-V5-028","搜索可过滤并可删除单条/多条且 UI 不被裁剪","产生历史记录->打开历史面板->搜索关键字->右键删除一条->刷新页面->该条不再出现；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Permissions","NEXT-V5-019","Interaction","权限中心增强：按类型过滤+搜索+一键重置","P2","M16","todo","PermissionsCenter 仅列表与重置能力有限","PermissionsCenter 增加类型过滤（通知/摄像头/麦克风等）；搜索；一键重置全部站点；显示统计","ui/qml/components/PermissionsCenter.qml; src/core/SitePermissionsStore.*","","可按类型筛选且一键重置后列表为空","触发2种权限记录->打开权限中心->按类型筛选->重置全部->列表为空；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Privacy","NEXT-V5-013","Interaction","清理浏览数据对话框（时间范围+类型）","P0","M16","todo","当前缺少统一清理入口","在 Settings->Privacy 增加 ClearDataDialog：选择时间范围（1h/24h/7d/all）与类型（历史/cookies/cache/downloads/permissions）；确认后触发清理并 toast","ui/qml/components/SettingsDialog.qml; ui/qml/components/ClearDataDialog.qml (new); ui/qml/BrowserWindow.qml","","可从设置打开清理对话框并执行清理流程","访问3个站点->打开清理对话框->选择清理历史(all)->确认->HistoryPanel 为空；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Settings","NEXT-V5-026","Interaction","书签导入导出入口：Settings/Bookmarks","P2","M17","todo","无 UI 入口","在 SettingsDialog 增加 Bookmarks 区块：Import/Export 按钮；使用 FileDialog 选择路径；展示错误 toast","ui/qml/components/SettingsDialog.qml; ui/qml/components/BookmarksPanel.qml; ui/qml/BrowserWindow.qml","NEXT-V5-025","可从设置导入导出并在 UI 中看到变化","打开 Settings->Bookmarks->Export->生成文件；删除一个书签->Import->书签恢复；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Sidebar/CustomizableUI","NEXT-V5-052","Interaction","侧栏顶部按钮可自定义：显示/隐藏/排序","P3","M20","todo","顶部按钮固定且不可配置","定义 SidebarButtonsStore（JSON）；支持显示/隐藏与排序；BrowserWindow 按配置渲染；Settings 提供拖拽排序 UI","src/core/SidebarButtonsStore.* (new); ui/qml/BrowserWindow.qml; ui/qml/components/SettingsDialog.qml; tests/TestAppSettings.cpp","","用户可隐藏一个按钮并拖拽排序且重启保持","Settings->Sidebar->隐藏 Downloads 按钮->侧栏顶部消失->拖拽排序->重启保持；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","SiteDataPanel","NEXT-V5-017","Interaction","Site Data 面板：cookies 列表+一键清理当前站点","P1","M16","todo","当前无站点数据面板或信息不足","新增 SiteDataPanel：展示 cookie 列表与删除按钮；一键清理当前站点 cookies；与 PopupManager/OverlayHost 正确 layering","ui/qml/components/SiteDataPanel.qml (new); ui/qml/BrowserWindow.qml; ui/qml/components/PopupManager.qml; src/engine/webview2/WebView2CookieModel.* (new)","NEXT-V5-016","从地址栏站点图标可打开 Site Data 面板并完成清理","打开站点->点击站点信息->进入 Site Data->清理 cookies->刷新->登录态消失或 cookie 为空；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","SiteInfo","NEXT-V5-018","Interaction","站点信息面板：安全状态+快捷入口（权限/站点数据）","P1","M16","todo","当前站点信息入口不完整或信息不足","增加 SiteInfoPanel：展示 scheme/host/安全提示；提供按钮打开 PermissionsPanel 与 SiteDataPanel；确保弹层不遮挡","ui/qml/components/SiteInfoPanel.qml (new); ui/qml/BrowserWindow.qml; ui/qml/components/PopupManager.qml","NEXT-V5-017","点击地址栏左侧图标可打开面板并跳转到权限/站点数据","打开 https 站点->点击锁图标->显示 host 与安全提示->点击 Permissions/Site Data 按钮->对应面板打开；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","SplitView","NEXT-V5-069","Interaction","链接右键：Open Link in Split View（新 pane）","P1","M22","todo","WebView2 context menu 缺少 split 入口","WebView2View contextMenuRequested 提取 linkUrl；ContextMenu 增加 Open Link in Split；调用 SplitViewController 打开到空 pane 或新增 pane","src/engine/webview2/WebView2View.*; ui/qml/components/ContextMenu.qml; ui/qml/BrowserWindow.qml; src/core/SplitViewController.*","","右键链接选择 Open in Split 后分屏出现并打开该链接","打开网页->右键一个链接->Open in Split->分屏并打开；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","SplitView","NEXT-V5-070","Interaction","分屏操作：Swap panes 与键盘快捷键","P2","M22","todo","SplitView 缺少 swap/快捷键","SplitViewController 增加 swapPanes；命令 split-swap（例如 Ctrl+Shift+S）；UI 增加按钮入口；持久化顺序","src/core/SplitViewController.*; ui/qml/BrowserWindow.qml; src/core/ShortcutStore.*; tests/TestSplitViewController.cpp","","Ctrl+Shift+S 可交换两个 pane 的网页并保持焦点","开启 2-pane 分屏->两侧打开不同网址->按 Ctrl+Shift+S->两侧互换；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","SplitView","NEXT-V5-071","Interaction","分屏关闭与聚焦：Close pane/Focus next pane","P2","M22","todo","分屏 pane 关闭与焦点切换路径长","命令 split-close-pane / split-focus-next；支持关闭当前 pane 但保留至少1 pane；更新 UI 状态与 session","src/core/SplitViewController.*; ui/qml/BrowserWindow.qml; src/core/ShortcutStore.*; src/core/SessionStore.*","","可用快捷键关闭当前 pane 且焦点移动到剩余 pane","开启3-pane->关闭当前 pane->paneCount 减1 且焦点切换；重启后保持；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","SplitView","NEXT-V5-072","Interaction","SplitView 单测：open link/swap/close","P2","M22","todo","单测未覆盖 swap/close/open link","扩展 TestSplitViewController 覆盖 swapPanes/closePane/focusNext；SessionStore 持久化顺序","tests/TestSplitViewController.cpp; tests/TestSessionStore.cpp; src/core/SplitViewController.*; src/core/SessionStore.*","NEXT-V5-070","ctest 覆盖新增用例且通过","cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Stability","NEXT-V5-057","Interaction","Profile 文件锁：避免多进程同时写同一数据目录","P2","M21","todo","多窗口/多进程可能意外共享 profile 导致数据竞争","在 profile 目录创建 lockfile（QFile lock 或 OS mutex）；启动时检测并提示；incognito 绕过；提供最小单测","src/core/AppPaths.*; src/app/main.cpp; tests/TestAppSettings.cpp (or new)","","同一 profile 启动第二个实例会提示并退出或切换到新 profile","启动 xbrowser --profile A 两次->第二次提示->不破坏数据；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Tabs","NEXT-V5-039","Interaction","Tab Group 折叠/展开并持久化","P1","M19","todo","TabGroupModel 无折叠状态","TabGroupModel 增加 collapsed 字段与 setCollapsed；SessionStore 保存/恢复；侧栏 group header 点击切换","src/core/TabGroupModel.*; src/core/SessionStore.*; ui/qml/BrowserWindow.qml; tests/TestSessionStore.cpp","","折叠后组内 tab 隐藏且重启后折叠状态保持","创建一个 group 并放入2个 tab->点击 header 折叠->重启->仍折叠；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Tabs","NEXT-V5-041","Interaction","Recently Closed：列表+菜单+恢复策略","P1","M19","todo","仅支持恢复最后一个 tab 或无列表","BrowserController 维护最近关闭栈（含 title/url/workspaceId）；菜单显示最近 10 个并可点击恢复；支持清空列表；持久化到 SessionStore","src/core/BrowserController.*; src/core/SessionStore.*; ui/qml/BrowserWindow.qml; tests/TestSessionStore.cpp","","可从菜单恢复任意一条最近关闭记录且重启后列表仍在","关闭3个 tab->打开菜单->看到 3 条->点击第2条恢复->重启->列表仍有剩余；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Tabs","NEXT-V5-040","Interaction","侧栏 group header 交互细节：hover/右键/多选不退化","P2","M19","todo","group header 交互细节不足","group header 增加右键菜单：Rename/Delete/Collapse All/Expand All；保证 PopupManager 不裁剪；多选时批量动作一致","ui/qml/BrowserWindow.qml; ui/qml/components/ContextMenu.qml; ui/qml/components/PopupManager.qml","NEXT-V5-039","右键菜单完整可见且批量操作不崩溃","右键 group header->Rename->生效；右键->Collapse All->所有组折叠；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Tabs","NEXT-V5-045","Interaction","TabModel 缩略图缓存：LRU 与释放策略","P2","M19","todo","TabModel 未存 thumbnail","TabModel 增加 thumbnail role（QImage/QUrl）；在 tab 切换/加载完成时异步捕获；实现 LRU 限制（例如 30 张）；reduceMotion 可降低频率","src/core/TabModel.*; ui/qml/BrowserWindow.qml","NEXT-V5-044","切换多个 tab 后 hover 可看到对应预览且内存不持续增长","打开10个 tab->来回切换->观察预览更新；监控内存不持续增长；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Tabs","NEXT-V5-047","Interaction","Tab/Workspace 新增单测：group collapse 与 recently closed","P2","M19","todo","缺少折叠与 recently closed 的单测覆盖","扩展 TestTabModel/TestSessionStore 覆盖 group collapsed 持久化；recentlyClosed push/pop/limit；restore 行为","tests/TestTabModel.cpp; tests/TestSessionStore.cpp; src/core/TabModel.*; src/core/SessionStore.*","NEXT-V5-039","ctest 覆盖新增用例且通过","cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Theme","NEXT-V5-049","Interaction","Theme 编辑器：Accent/Radius/Separation 可调","P2","M20","todo","ThemesDialog 仅切换 themeId 无细粒度参数","AppSettings 增加 themeAccent/themeRadius/themeSeparation；ThemeController 将其映射到 QML theme vars；Settings/Theme 页面提供 ColorDialog/Slider","src/core/AppSettings.*; src/core/ThemeController.*; ui/qml/components/ThemesDialog.qml; ui/qml/components/SettingsDialog.qml; tests/TestThemeSystem.cpp","","调整参数后 UI 颜色/圆角/间距即时变化且重启保持","打开 Themes->调整 accent 与 radius->观察侧栏与按钮变化->重启保持；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Toast","NEXT-V5-035","Interaction","下载通知：开始/完成/失败 toast 与工具栏 badge","P2","M18","todo","缺少明确下载通知","badge 显示进行中数量；完成 toast 提供 Open Folder；失败 toast 提供 Retry；确保 overlay 不遮挡","ui/qml/BrowserWindow.qml; ui/qml/components/ToastHost.qml; src/core/DownloadModel.*","NEXT-V5-032","下载完成时出现 toast 且点击可打开文件夹","完成一个下载->出现 toast->点击 Open Folder->资源管理器打开；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Updates","NEXT-V5-059","Interaction","更新提示：版本变化展示一次并可打开 Release Notes","P3","M21","todo","版本提示缺少 release notes 跳转（若已实现则改为补齐）","版本变化时在 NotificationsStack 显示一次提示；按钮打开 docs/CHANGELOG 或 GitHub releases；支持关闭不再提示","src/core/DiagnosticsController.*; ui/qml/components/NotificationsStack.qml; ui/qml/BrowserWindow.qml","","升级版本号后首次启动出现提示且点击可打开 release notes","修改版本号->启动->出现提示->点击打开链接；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","WebView2","NEXT-V5-014","Interaction","清理 WebView2 缓存与 cookies（API 接入）","P0","M16","todo","当前未接入 ClearBrowsingDataAsync","在 WebView2View/BrowserController 增加 clearBrowsingData(kindMask,timeRange)；调用 WebView2 Profile ClearBrowsingDataAsync；暴露给 QML 并与 ClearDataDialog 串联","src/engine/webview2/WebView2View.*; src/core/BrowserController.*; ui/qml/BrowserWindow.qml","NEXT-V5-013","清理 cookies 后重新打开站点不再处于登录态（最小可验收）","登录一个测试站点或设置 cookie->执行清理 cookies->刷新->登录态消失；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","WebView2","NEXT-V5-016","Interaction","Cookie 管理：列出当前站点 cookies 并可逐条删除","P1","M16","todo","当前无 cookie 列表能力","封装 WebView2 CookieManager：getCookies(url) 返回简化列表；deleteCookie(domain,name,path)；提供 QAbstractListModel 暴露给 QML","src/engine/webview2/WebView2CookieModel.* (new); src/engine/webview2/WebView2View.*; src/app/main.cpp","","在 QML 中可显示 cookies 列表并能删除一条使其消失","访问会写 cookie 的站点->打开 Site Data->看到 cookies->删除一条->刷新->该 cookie 不再出现；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","WebView2","NEXT-V5-008","Interaction","Web 内容触发全屏（视频）与窗口全屏联动","P2","M15","todo","当前可能忽略 ContainsFullScreenElementChanged","监听 WebView2 ContainsFullScreenElementChanged；当网页进入全屏时切换窗口全屏并展示退出提示；退出时恢复","src/engine/webview2/WebView2View.*; ui/qml/BrowserWindow.qml; ui/qml/components/ToastHost.qml","NEXT-V5-007","视频站点进入全屏后窗口进入全屏且退出后恢复","打开视频站点->点击播放器全屏->窗口进入全屏->按 Esc 退出->窗口恢复；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","WebView2","NEXT-V5-044","Interaction","捕获网页预览图：CapturePreview API 暴露给 QML","P2","M19","todo","当前无 tab 缩略图能力","WebView2View 实现 capturePreview(width,height)->QImage/PNG file；提供异步回调与节流；失败返回空","src/engine/webview2/WebView2View.*; src/app/main.cpp","","可捕获当前页面预览并在 QML Image 显示","打开网页->触发 capturePreview->看到缩略图；重复触发不崩溃；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Windows","NEXT-V5-042","Interaction","Move Tab to New Window 与 Move Tab to Workspace","P2","M19","todo","缺少跨窗口/跨 workspace 移动入口","Tab 右键菜单增加：Move to New Window（启动新进程并打开 url）；Move to Workspace（选择目标 workspace）；移动后原处关闭并保持历史","ui/qml/BrowserWindow.qml; src/app/main.cpp; src/core/WorkspaceModel.*; src/core/TabModel.*","","可把当前 tab 移到新窗口或其它 workspace 且不会丢失","右键 tab->Move to New Window->新窗口打开同 url；右键 tab->Move to Workspace->切换 workspace 验证；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Workspaces","NEXT-V5-043","Interaction","Workspace 管理器：重命名/排序/删除/复制","P1","M19","todo","WorkspaceModel 仅支持新增与切换","新增 WorkspaceManagerDialog：列出 workspaces；rename/reorder/delete/duplicate；删除时迁移 tabs 到默认 workspace；持久化","ui/qml/components/WorkspaceManagerDialog.qml (new); ui/qml/BrowserWindow.qml; src/core/WorkspaceModel.*; tests/TestWorkspaceModel.cpp","","可在对话框中重命名/排序并重启保持；删除 workspace 不崩溃且 tabs 合理处理","新建2个 workspace->打开管理器->重命名并排序->重启->保持；删除一个->tabs 迁移到默认；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
"developing","Workspaces/Theme","NEXT-V5-050","Interaction","每 Workspace 主题覆盖：切换 workspace 自动切换 accent","P3","M20","todo","workspace 没有主题字段","WorkspaceModel 增加 workspaceAccent/themeOverride 字段并持久化；切换 workspace 时 ThemeController 选择 workspace override；UI 提供设置入口","src/core/WorkspaceModel.*; src/core/ThemeController.*; ui/qml/BrowserWindow.qml; tests/TestWorkspaceModel.cpp","NEXT-V5-049","两个 workspace 设置不同 accent 后切换时 UI 主色随之变化且重启保持","为 workspace A/B 设置不同 accent->在 A/B 间切换->颜色变化->重启保持；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure","developing/zen_browser_next_plan_v5.csv","developing"
